OTU;Sampler;Storage_type;Taxa2;Taxa4;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa13;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa40;Taxa41;Taxa42
A2_D;A2;Frozen;2531;13939;0;4952;3036;3572;3714;2040;2132;11566;2295;0;0;1359;0;0;2128;1588;0;1500;0;0;13575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2_W;A2;LB;0;10435;0;0;0;10491;3288;0;10708;0;5387;14455;0;0;0;0;0;0;0;6812;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A20_B;A20;Buffer;0;0;0;0;40504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A20_D;A20;Frozen;2000;3155;0;2393;3680;0;1666;1542;6819;1585;0;0;0;1752;3537;0;0;0;12476;0;0;635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A20_W;A20;LB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3800;0;0;0;4476;0;0;0;0;0;0;0;0;0;0;2277;0;0;0;0;0;0;0;0
A3_D;A3;Frozen;0;4438;0;0;0;0;1186;1168;3295;607;3190;0;0;2962;0;0;1752;0;0;2235;0;0;0;0;0;0;0;613;1334;0;0;0;0;0;0;0;0;0
A3_W;A3;LB;202624;7658;0;0;0;0;5006;3877;0;0;874;0;0;0;0;0;1591;0;0;0;0;0;0;0;0;0;6729;0;3561;0;0;1483;0;0;0;0;0;21
A4_B;A4;Buffer;0;5416;55479;11783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A4_D;A4;Frozen;0;12185;0;18719;8031;4729;1488;4930;2416;10602;0;0;0;1037;10016;0;1093;1846;0;1405;0;1766;0;0;0;0;0;0;0;0;1469;0;0;0;0;0;0;0
A4_W;A4;LB;0;16404;112028;3477;1531;0;5881;7814;0;4074;0;0;0;0;0;0;4442;10267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5_B;A5;Buffer;0;10886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5_D;A5;Frozen;0;6857;0;3694;3970;807;603;507;3520;0;576;741;0;0;5252;0;2383;0;547;0;0;8711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5_W;A5;LB;0;8256;0;9724;0;0;0;2305;0;5990;0;0;0;0;0;0;0;0;0;5134;11116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A6_D;A6;Frozen;0;0;0;0;0;0;4098;753;0;0;0;0;0;0;0;0;0;0;0;0;0;1804;0;0;1827;0;0;0;0;0;0;0;0;0;0;0;0;0
A6_W;A6;LB;0;4291;0;0;0;0;0;0;0;5993;0;0;36851;0;0;0;0;5113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A7_B;A7;Buffer;0;0;0;0;0;0;0;6445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A7_D;A7;Frozen;2716;1542;507;2597;2579;4728;2528;0;3066;902;1731;0;1074;4165;0;0;1144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A7_W;A7;LB;0;5680;0;0;0;17270;0;3771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9995;0;0;0;0;0;0;0;0;0;0;0;0;0
A8_B;A8;Buffer;0;0;0;13319;18648;0;0;0;0;0;0;25115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A8_D;A8;Frozen;0;0;0;6019;3953;0;2457;0;343;0;0;0;0;1275;7147;0;1796;0;0;0;0;2668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A8_W;A8;LB;0;0;0;0;7982;0;0;0;0;0;14230;0;0;0;0;0;0;0;6711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A9_D;A9;Frozen;0;6069;0;2353;1221;1408;6866;0;0;1162;0;0;875;0;0;0;0;2972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A9_W;A9;LB;0;0;0;5095;0;0;0;0;2259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
