Sample;Longitude;Latitude
A1;55,64;10,166433
A11;55,63875;10,168283
A12;55,638583;10,16815
A13;55,638367;10,168417
A14;55,638433;10,168733
A15;55,63825;10,169017
A16;55,638117;10,169533
A17;55,637783;10,1699
A18;55,637683;10,169717
A19;55,637417;10,169667
A2;55,639917;10,166817
A20;55,637067;10,169683
A3;55,639817;10,16695
A4;55,639667;10,1671
A5;55,639533;10,16725
A6;55,639333;10,1671
A7;55,63915;10,16725
A8;55,641333;10,1675
A9;55,638933;10,167883
