Sam;Dist_m;OTU_dist;Storage_type;
122;277,8970039;0,406461288;Frozen;0,04
123;418,326961;0,853304863;Frozen;0,555
124;204,0544326;0,765826944;Frozen;0,045
125;23,10537991;0,766575413;Frozen;0,203
126;47,70630928;0,811621395;Frozen;0,336
127;414,8175358;0,868728646;Frozen;0,293
128;81,99556469;0,856896812;Frozen;0,423
129;396,4337323;0,829785796;Frozen;0,347
130;373,4372509;0,904391192;Frozen;0,324
131;351,4459689;0,931955505;Frozen;0,824
132;354,5645417;0,787528318;Frozen;0,328
133;330,4748619;0,84543056;Frozen;0,831
134;471,3635542;0,9193409;Frozen;0,794
135;257,1845973;0,834461497;Frozen;0,406
136;29,63932278;0,875916663;Frozen;0,713
137;404,6831541;0,889351805;Frozen;0,659
138;67,52596478;0,823906105;Frozen;0,136
139;386,2859798;0,962853789;Frozen;0,93
140;363,0867131;0,875037039;Frozen;0,661
141;340,9525047;0,879581471;Frozen;0,813
142;342,4797668;0,905279904;Frozen;0,318
143;317,8527606;0,845310901;Frozen;0,832
144;469,4270685;0,854890691;Frozen;0,777
145;245,5713966;0,936490592;Frozen;0,748
146;418,6862791;0,783704285;Frozen;0,641
147;38,34814033;0,81539004;Frozen;0,289
148;400,342053;0,889985084;Frozen;0,905
149;376,9859364;0,80210356;Frozen;0,641
150;354,7767545;0,846005199;Frozen;0,378
151;354,189639;0,914124002;Frozen;0,718
152;328,9491144;0,700410336;Frozen;0,689
153;491,6908511;0,813105905;Frozen;0,673
154;258,6159237;0,855261428;Frozen;0,665
155;445,9368464;0,795577417;Frozen;0,233
156;18,39847919;0,784489314;Frozen;0,126
157;41,7006249;0,576359489;Frozen;0,037
158;63,91063147;0,768218335;Frozen;0,405
159;71,24459166;0,939587785;Frozen;0,902
160;96,77472917;0,704696497;Frozen;0,032
161;172,5878515;0,830421163;Frozen;0,394
162;160,1533932;0,767514402;Frozen;0,132
163;427,7196144;0,788807537;Frozen;0,57
164;404,3161544;0,788500946;Frozen;0,071
165;382,1475044;0,694612944;Frozen;0,088
166;379,4769685;0,934559013;Frozen;0,39
167;353,7882479;0,70889251;Frozen;0,276
168;526,2362929;0,746500778;Frozen;0,029
169;285,955788;0,824992217;Frozen;0,417
170;23,40357853;0,853557403;Frozen;0,339
171;45,59579859;0,775579083;Frozen;0,675
172;55,53712619;0,933874433;Frozen;0,731
173;80,26304205;0,692674719;Frozen;0,386
174;176,8366613;0,896176109;Frozen;0,656
175;141,8595875;0,842153262;Frozen;0,887
176;22,2102293;0,709850971;Frozen;0,14
177;36,55597234;0,953518856;Frozen;0,567
178;58,99215855;0,80155243;Frozen;0,366
