OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF13;J3_12V;J;12v;Day3;12128;13473;4413;12810;0;13826;6350;5019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF130;B2_12V;B;12v;Day2;20261;0;0;0;0;3619;0;0;0;0;0;0;0;0;0;0;3637;0;0;11910;16470;0;0;0;0;0;0;1913;0;0;0;0;0;0;0;0;0;0;0;0;0
AF131;H1_12V;H;12v;Day1;8652;11411;0;0;0;3873;0;1821;3367;0;0;1146;0;0;0;0;3730;0;0;0;0;0;0;3545;0;2773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF133;I3_5V;I;5v;Day3;0;7216;3981;0;0;3694;14038;0;0;0;0;0;0;0;0;0;3797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF135;B1_5V;B;5v;Day1;10278;4767;0;0;0;0;0;12242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF137;A2_12V;A;12v;Day2;11031;0;0;0;0;0;0;0;1306;0;0;0;0;0;0;0;0;0;22907;0;0;0;2087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF138;E2_5VX12;E;5v_12;Day2;5973;6637;0;0;0;3772;2076;0;24443;0;0;0;17696;0;0;0;3673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF140;F2_5VX12;F;5v_12;Day2;10740;0;0;0;0;0;0;0;0;0;0;3763;0;0;0;9962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF143;D2_12V;D;12v;Day2;16466;0;0;0;3006;3575;0;0;0;0;0;0;0;0;0;0;0;3599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF144;A1_5VX12;A;5v_12;Day1;3044;0;3066;0;0;0;0;0;0;4518;0;0;0;0;0;0;0;0;0;867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF147;E2_12VX5;E;12v_5;Day2;20920;3613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF15;B1_5VX12;B;5v_12;Day1;0;0;0;0;0;0;0;4985;0;0;0;0;0;0;0;2217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF151;B1_12V;B;12v;Day1;5265;0;0;0;91256;0;0;0;0;1758;0;2278;0;0;0;0;0;0;0;0;0;0;0;0;1161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF152;I2_12V;I;12v;Day2;37972;0;0;0;3984;6705;0;0;0;0;0;0;0;0;0;0;3389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;0;0
AF154;I1_5VX12;I;5v_12;Day1;0;0;0;0;0;1475;0;0;0;0;0;2213;0;0;0;0;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF155;E3_12V;E;12v;Day3;15394;44125;0;0;0;0;0;5663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF156;C1_5VX12;C;5v_12;Day1;5298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF16;I3_12VX5;I;12v_5;Day3;16402;6671;0;5044;0;5902;0;3140;0;0;0;1359;0;0;0;0;0;0;0;0;0;0;2174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF160;F2_12V;F;12v;Day2;18711;0;0;0;3412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF161;E3_5VX12;E;5v_12;Day3;9864;27370;0;0;0;0;4040;4122;0;0;0;1463;0;0;2401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF162;J1_12V;J;12v;Day1;10422;11603;4636;7993;0;9286;0;5837;6509;0;0;3040;0;0;0;0;0;3820;6076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF163;D3_5VX12;D;5v_12;Day3;4203;5632;0;1804;0;1875;4128;0;0;0;0;0;0;0;0;1682;1129;0;2381;0;0;0;0;0;0;0;0;2351;0;0;0;0;0;0;0;0;0;0;0;0;0
AF164;G1_12V;G;12v;Day1;8768;0;0;0;0;0;963;0;0;0;4392;0;0;2529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9094;0;0;0;0;0;0;0;0;0;0
AF165;D1_5VX12;D;5v_12;Day1;9272;0;0;0;0;0;0;0;0;0;0;0;0;0;4147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2771;0;0;0
AF166;C3_12V;C;12v;Day3;15570;9004;0;0;0;0;2262;0;0;2551;6114;2824;0;1462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF168;H1_12VX5;H;12v_5;Day1;13003;0;0;0;0;8563;5709;0;0;0;0;0;0;0;0;0;3713;0;0;3512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF169;F1_12VX5;F;12v_5;Day1;9728;0;0;0;0;0;0;0;0;0;0;1139;0;0;1715;0;0;1195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF172;F3_5V;F;5v;Day3;7124;6154;0;0;0;0;0;0;0;0;6649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF173;H3_12V;H;12v;Day3;6632;37449;4845;7234;0;2750;3278;2964;0;5028;0;2082;0;0;0;8207;0;781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF175;J1_5VX12;J;5v_12;Day1;6523;0;0;0;0;0;0;4397;0;0;0;2437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF177;D1_12VX5;D;12v_5;Day1;3032;0;0;0;0;3346;0;0;3059;0;0;0;3159;0;0;0;2395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF179;D2_5V;D;5v;Day2;11712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF181;C2_12V;C;12v;Day2;32919;0;0;0;0;0;16308;0;0;8625;0;0;0;0;0;0;0;0;0;0;0;1670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF2;B3_12V;B;12v;Day3;7623;6250;0;4287;0;1169;40192;0;0;1799;11492;0;0;1050;0;0;719;1843;0;2055;0;0;0;0;0;0;0;0;9759;0;0;0;0;0;0;0;0;0;0;0;0
AF20;D1_12V;D;12v;Day1;4771;0;0;0;2449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF21;B2_5V;B;5v;Day2;13248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF22;G3_12VX5;G;12v_5;Day3;4118;4074;0;5079;0;5830;0;0;0;0;0;2545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF26;G3_5V;G;5v;Day3;8344;9883;0;3417;0;0;0;0;0;7541;0;0;0;0;0;1921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF27;C1_12VX5;C;12v_5;Day1;4471;0;0;0;0;7443;0;0;0;1955;0;0;0;0;0;0;0;0;0;0;0;2133;0;0;0;0;0;0;0;4300;0;0;0;0;0;0;0;0;0;0;0
AF29;C3_5V;C;5v;Day3;8573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF3;H2_12VX5;H;12v_5;Day2;7622;27367;0;0;0;3586;1974;0;0;0;0;0;0;0;4216;0;0;549;0;0;0;0;672;0;0;0;2554;0;0;5038;0;0;0;0;0;0;0;0;0;0;0
AF31;A1_12V;A;12v;Day1;26227;0;0;0;0;0;0;0;8954;0;0;0;0;0;0;0;0;1165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1903;0;0;0;0;0;0
AF33;E1_12VX5;E;12v_5;Day1;4400;0;0;0;0;3267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF34;C2_5VX12;C;5v_12;Day2;15172;0;0;0;13196;3769;0;2664;0;0;0;3080;0;0;0;0;0;4245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF35;G2_5VX12;G;5v_12;Day2;10955;0;0;0;0;1432;0;0;0;2539;0;0;0;0;0;0;1599;0;0;0;0;2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF37;H2_12V;H;12v;Day2;5917;36481;0;0;0;0;0;0;0;0;0;0;0;0;1692;0;0;0;556;4306;0;0;0;0;0;0;0;1404;0;0;0;0;0;0;0;0;0;0;0;0;0
AF38;G1_5V;G;5v;Day1;14554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF39;G2_5V;G;5v;Day2;12260;0;0;0;0;3770;0;0;0;0;17176;0;0;0;0;0;0;0;0;0;0;0;5048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF4;E2_5V;E;5v;Day2;15290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
