OTU;SampleID;SampleSite;SampleType;Date;Richness;Cor_X;Cor_Y
AF15;B1_5VX12;B;5v_12;Day1;2;0,159700276;-0,143327347
AF154;I1_5VX12;I;5v_12;Day1;3;0,141536234;-0,218327354
AF156;C1_5VX12;C;5v_12;Day1;1;-0,286655939;-0,332341191
AF161;E3_5VX12;E;5v_12;Day3;6;0,290475612;0,0844666
AF163;D3_5VX12;D;5v_12;Day3;9;0,230434234;-0,137422331
AF165;D1_5VX12;D;5v_12;Day1;3;-0,283048928;-0,041724566
AF175;J1_5VX12;J;5v_12;Day1;3;-0,138813934;-0,181683219
AF34;C2_5VX12;C;5v_12;Day2;6;-0,039843476;0,148434098
AF35;G2_5VX12;G;5v_12;Day2;5;-0,226850471;0,008960126
AF40;F3_5VX12;F;5v_12;Day3;6;0,253271491;0,029887567
AF44;J2_5VX12;J;5v_12;Day2;3;-0,075668761;-0,134630844
AF47;G1_5VX12;G;5v_12;Day1;3;0,115031635;-0,162510978
AF50;I3_5VX12;I;5v_12;Day3;7;0,012387857;-0,018895191
AF53;I2_5VX12;I;5v_12;Day2;2;-0,292530215;0,018149106
AF56;H1_5VX12;H;5v_12;Day1;4;-0,18709488;-0,126174992
AF69;E1_5VX12;E;5v_12;Day1;1;-0,39365606;0,047417257
AF73;C3_5VX12;C;5v_12;Day3;6;0,209829438;0,002917481
AF76;B2_5VX12;B;5v_12;Day2;2;-0,190834392;0,269503568
AF87;A2_5VX12;A;5v_12;Day2;3;-0,243549708;0,308075272
AF92;B3_5VX12;B;5v_12;Day3;9;0,266917424;0,225508208
AF96;G3_5VX12;G;5v_12;Day3;4;0,115248555;0,049045013
